Title:,"Time Series, Area-Averaged of NO2 Tropospheric Column (30% Cloud Screened) daily 0.25 ()"
User Start Date:,2020-01-31T00:00:00Z
User End Date:,2020-05-24T23:59:59Z
User Bounding Box:,"8,44,12,46"
Data Bounding Box:,"8.125,44.125,11.875,45.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2020-01-31T00:00:00Z&endtime=2020-05-24T23:59:59Z&bbox=8,44,12,46&data=OMNO2d_003_ColumnAmountNO2TropCloudScreened&variableFacets=dataProductObservation%3AObservation%3BdataFieldDiscipline%3AAtmospheric%20Chemistry%3B&portal=GIOVANNI&format=json"
Fill Value (mean_OMNO2d_003_ColumnAmountNO2TropCloudScreened):, -1.267651e+30

time, mean_OMNO2d_003_ColumnAmountNO2TropCloudScreened
2020-01-31,-1.267651e+30
2020-02-01,1.28720857e+16
2020-02-02,5.44787557e+15
2020-02-03,6.57782026e+15
2020-02-04,4.63093897e+15
2020-02-05,2.98551391e+15
2020-02-06,6.29745177e+15
2020-02-07,-1.267651e+30
2020-02-08,1.40354109e+16
2020-02-09,6.36967326e+15
2020-02-10,3.71667277e+15
2020-02-11,3.68697146e+15
2020-02-12,4.11351781e+15
2020-02-13,1.03590187e+16
2020-02-14,3.0962438e+15
2020-02-15,1.1171546e+16
2020-02-16,-1.267651e+30
2020-02-17,5.08318184e+15
2020-02-18,4.81405812e+15
2020-02-19,4.95507424e+15
2020-02-20,6.6165657e+15
2020-02-21,4.89757537e+15
2020-02-22,8.58348194e+15
2020-02-23,-1.267651e+30
2020-02-24,6.1345587e+15
2020-02-25,4.08457242e+15
2020-02-26,3.2786559e+15
2020-02-27,4.97798038e+15
2020-02-28,2.92027255e+15
2020-02-29,1.11575211e+15
2020-03-01,-1.267651e+30
2020-03-02,-1.267651e+30
2020-03-03,-1.267651e+30
2020-03-04,4.8156596e+15
2020-03-05,3.13817288e+14
2020-03-06,3.07057493e+15
2020-03-07,4.91650758e+15
2020-03-08,2.81023039e+15
2020-03-09,4.64164578e+15
2020-03-10,-1.267651e+30
2020-03-11,4.25510141e+15
2020-03-12,1.02062642e+14
2020-03-13,2.2896723e+15
2020-03-14,1.66333279e+15
2020-03-15,2.13502287e+15
2020-03-16,3.92313453e+15
2020-03-17,2.34010461e+15
2020-03-18,3.9279304e+15
2020-03-19,-1.267651e+30
2020-03-20,4.97963984e+15
2020-03-21,1.77793943e+15
2020-03-22,8.18115303e+14
2020-03-23,1.64980525e+15
2020-03-24,4.68690024e+15
2020-03-25,5.26439295e+15
2020-03-26,-1.267651e+30
2020-03-27,1.87201438e+15
2020-03-28,1.50126193e+15
2020-03-29,2.96464627e+15
2020-03-30,2.41482738e+15
2020-03-31,1.62714017e+15
2020-04-01,3.48140332e+15
2020-04-02,4.12228438e+15
2020-04-03,4.06412113e+15
2020-04-04,-1.267651e+30
2020-04-05,1.89421251e+15
2020-04-06,1.81622302e+15
2020-04-07,2.19928619e+15
2020-04-08,1.93255637e+15
2020-04-09,4.22079053e+15
2020-04-10,2.74290463e+15
2020-04-11,-1.267651e+30
2020-04-12,1.49991801e+15
2020-04-13,1.93800346e+15
2020-04-14,1.74233361e+15
2020-04-15,2.02457215e+15
2020-04-16,2.87356854e+15
2020-04-17,3.00132315e+15
2020-04-18,2.83119251e+15
2020-04-19,3.01325806e+15
2020-04-20,-1.267651e+30
2020-04-21,-1.267651e+30
2020-04-22,2.86312184e+15
2020-04-23,2.61121637e+15
2020-04-24,2.27317506e+15
2020-04-25,8.7962165e+14
2020-04-26,2.25271894e+15
2020-04-27,-1.267651e+30
2020-04-28,-1.267651e+30
2020-04-29,6.32948911e+13
2020-04-30,5.08032032e+15
2020-05-01,6.83565654e+14
2020-05-02,2.54507736e+15
2020-05-03,1.2750966e+15
2020-05-04,2.66892784e+15
2020-05-05,3.71437335e+15
2020-05-06,-1.267651e+30
2020-05-07,2.5759665e+15
2020-05-08,2.1129501e+15
2020-05-09,1.99912555e+15
2020-05-10,2.70312786e+15
2020-05-11,3.13783627e+15
2020-05-12,2.06943215e+15
2020-05-13,-1.267651e+30
2020-05-14,3.13146173e+15
2020-05-15,2.43861398e+15
2020-05-16,3.49221187e+15
2020-05-17,1.0566351e+15
2020-05-18,3.59566099e+15
2020-05-19,2.90511964e+15
2020-05-20,-1.267651e+30
2020-05-21,2.46213295e+15
2020-05-22,1.10676751e+15
2020-05-23,3.00075245e+15
2020-05-24,1.19322406e+15
